kutti,standard
বহুত কতা হুনাইছে আমারে,অনেক কথা শুনিয়েছে আমাকে
হেইডা হ্যাগো যেইডা মুন্চায় হুনাউক গা,সেটা ওদের যেটা মন চায় শোনাক গিয়ে
তুই হেই চিটাং থেইক্কা এত্ত মেহনত কইরা,তুই সেই চিটাগাং থেকে এত কষ্ট করে
আমার লাইগা হুটকি লইয়া আইছোস,আমার জন্য শুঁটকি নিয়ে এসেছিস
ক তরে কত ট্যাকা দেওন লাগবো,বল তোকে কত টাকা দিতে হবে?
তুই কত ট্যাকা চাস খালি ক,তুই কত টাকা চাস শুধু বল
ট্যাকার কতা কইয়ো না তো বুবুজান,টাকার কথা বোলো না তো বুবুজান
এইডা হুনলে দিলে বহুত চোট লাগে,এটা শুনলে মনে অনেক কষ্ট লাগে
তুমি আমার একটা মাত্র বইন,তুমি আমার একটিমাত্র বোন
হুনো এইডা স্যাস কইরা কইবা,"শোনো, এটা শেষ করে বলবে"
যহন স্যাস হইবো আবার লইয়া আমু,"যখন শেষ হবে, আবার নিয়ে আসব"
জোনাকিরে দ্যাখতাছি না ক্যালা,জোনাকিকে দেখছি না কেন?
অর লগে ভি কাম আছিল,ওর সাথেও কাজ ছিল
না রে ওই অহন ব্যস্ত আছে,"না রে, ও এখন ব্যস্ত আছে"
তুই পরে ভি আইবার পারবি,তুই পরেও আসতে পারবি
না না অহনই দেইক্কা যাই,"না না, এখনই দেখে যাই"
নইলে অয় ফির আমারে,নইলে ও আবার আমাকে
বহুত কতা হুনাইবো,অনেক কথা শোনাবে
আরেহ তুই যা কিচ্ছু হইবো না,"আরে তুই যা, কিছু হবে না"
অনেকদিন দেহি না,অনেকদিন দেখি না
একনজর দেইক্কাই যামু গা,একনজর দেখেই চলে যাব
অয় অহন পড়বার বইছে,ও এখন পড়তে বসেছে
ওরে জ্বালাইস না কইতাছি,ওকে জ্বালাস না বলছি
জ্বালামু না বিলকুল জ্বালামু না,"জ্বালাব না, একদমই জ্বালাব না"
একনজর দেইক্কাই যামু গা,একনজর দেখেই চলে যাব
মায়ার আসিক ভাইগ্গা গ্যাছে হুইন্না,মায়ার প্রেমিক পালিয়ে গেছে শুনে
মায়া ভি চরম ক্ষেইপ্পা গেছে গা,মায়াও চরম রেগে গেছে
মোবারক ভাইয়ের উপ্রে বহুত গুস্সা করছে,মোবারক ভাইয়ের ওপর অনেক রাগ করেছে
একখান গলতি হয়া গ্যাছে গা,একটা ভুল হয়ে গেছে
তুমার আশিক যে এক্কান সাচ্চা বাটপার,তোমার প্রেমিক যে একজন আস্ত বাটপার
এইডা কইলাম আমি বুঝবার পারি নাইক্কা,এটা কিন্তু আমি বুঝতে পারিনি
এক তরফে কইলাম ভালাই হইছে,একদিক থেকে কিন্তু ভালোই হয়েছে
সাদি করনের পর বুঝবার পারতা,বিয়ে করার পর বুঝতে পারতে
ফাইজলামি করতাছেন নি আপনেরা,ফাজলামো করছেন নাকি আপনারা?
আমারে পার্লার থেইক্কা তুইল্লা লইয়া আইছেন,আমাকে পার্লার থেকে তুলে নিয়ে এসেছেন
অহনতক তো হক্কলে জাইন্না গ্যাছে গা,এতক্ষণে তো সবাই জেনে গেছে
যে আমি সাদির থন পলায়া গেছি গা,যে আমি বিয়ে থেকে পালিয়ে গেছি
আর অহন আমি অ্যাকলা বাড়িত গ্যালে গা,আর এখন আমি একা বাড়িতে গেলে
আমার বাপে ইজ্জত বাচাইন্নার লাইগ্গা হইলেও,আমার বাবা ইজ্জত বাঁচানোর জন্য হলেও
আমারে জিন্দা মাটিত পুইত্তা ফালাইবো,আমাকে জ্যান্ত মাটিতে পুঁতে ফেলবে
আপনারা আমারে নি এইহানো,আপনারা আমাকে নাকি এখানে
সাদি করাইন্নার লাইগ্গা লইয়া আইছেন,বিয়ে করানোর জন্য নিয়ে এসেছেন
আমারে আগে আপনেরা সাদি করায় দিবেন,আমাকে আগে আপনারা বিয়ে করিয়ে দেবেন
ফির হক্কলে এইহান তন যাইবেন,তারপর সবাই এখান থেকে যাবেন
নইলে কইলাম আপনেগো লগে আমার,নইলে কিন্তু আপনাদের সাথে আমার
এক্কান ফাডাফাডি হইয়া যাইবো,একটা ফাটাফাটি হয়ে যাবে
হেতিয়ে সাদি করবার রাজি হইলে,সে বিয়ে করতে রাজি হলে
হেতিরে আমার রুবায়া বিবি করবার চাই,তাকে আমি বউ করতে চাই
আমার কুনু তাকলিফ নাইক্কা,আমার কোনো আপত্তি নেই
আপনেরে যহন আমি জবান দিয়ালাইছি,আপনাকে যখন আমি কথা দিয়ে ফেলেছি
আপনের সাদি করামু ঐ পোলার লগে,আপনার বিয়ে করাব ওই ছেলের সাথে
অর ত্যাড়া ঘাড় আমি খুঁইজ্জা বাইর করুম,ওর ত্যাড়া ঘাড় আমি খুঁজে বের করব
বাইর কইরা ফির আপনের লগে সাদি দিমু,বের করে তারপর আপনার সাথে বিয়ে দেব
আগলা দিন বিয়ান বেলায়,পরের দিন সকালে
মায়া হক্কলরে খিলানের লাইগ্গা নাস্তা বানাইছে,মায়া সবাইকে খাওয়ানোর জন্য নাস্তা বানিয়েছে
যেইডা দেইক্কা মোবারক ভাইয়ের মা বাপে,যেটা দেখে মোবারক ভাইয়ের মা-বাবা
টাশকি খায়া গ্যাছে এক্কেরে,একেবারে অবাক হয়ে গেছে
আরে আমি তো রাইতের বেলায়,আরে আমি তো রাতের বেলায়
একিনই করবার পারি নাইক্কা যে,জবান ইয়াকিন করবার পারি না
আমগোর মোবারক সাদি কইরা হালাইছে,আমাদের মোবারক বিয়ে করে ফেলেছে
মাগার বিয়ানবেলায় ডাইনিং টেবিল দেইক্কা,কিন্তু সকালবেলায় ডাইনিং টেবিল দেখে
লাগতাছে আমার আকাইম্মা পোলায়,মনে হচ্ছে আমার অকর্মা ছেলেটা
এক্কান কামের কাম কইরা হালাইছে,একটা কাজের কাজ করে ফেলেছে
এত্ত পদে নাস্তা একলাই বানায়া হালাইছে,এত পদের নাস্তা একাই বানিয়ে ফেলেছে
এমন এক্কান বউ পাইবার লাইগাও নসিব লাগে,এমন একটা বউ পাওয়ার জন্যও ভাগ্য লাগে
আমার পোলার বউয়ের নাস্তা,আমার ছেলের বউয়ের নাস্তা
খাইয়া দ্যাহো কেমুন হইছে,খেয়ে দেখো কেমন হয়েছে
মোবারক ভাইয়ের বাপে নাস্তা মুহে লইয়া,মোবারক ভাইয়ের বাবা নাস্তা মুখে নিয়ে
পুরাই টাশকি খাইয়া গ্যাছে গা,পুরোই অবাক হয়ে গেছে
আম্মাজান কেমুন যে সোয়াদ হইছে,"আম্মাজান, কী যে স্বাদ হয়েছে!"
এমুন সোয়াদিস্ট খানা পাকানি,এমন সুস্বাদু খাবার রান্না করা
আপনারে হিগাইছে ক্যাডায়,আপনাকে শিখিয়েছে কে?
মায়া মোবারক ভাইরে কইতাছে,মায়া মোবারক ভাইকে বলছে
হেতিয়ে কিল্লাইগা এই বাড়িত থাকবার চায়,সে কেন এই বাড়িতে থাকতে চায়
আমি এক্কান কতা চিন্তা করবার লাগছি,আমি একটা কথা চিন্তা করছি
এই মানুসটিরে এমনে থুইয়া,এই মানুষগুলোকে এভাবে রেখে
অহন যদি আমি যাইগা,এখন যদি আমি চলে যাই
হেরা তো দিলে বহুত দাগা পাইবো,তারা তো মনে অনেক কষ্ট পাবে
আর আপনে তো এমনেও অরে,আর আপনি তো এমনিতেও তাকে
অহনো খুইজ্জা বাইর করবার পারেন নাইক্কা,এখনও খুঁজে বের করতে পারেননি
এই হালতে আমি অহন আমার,এই অবস্থায় আমি এখন আমার
বাপের বাড়িত তো যাইবার পারুম না,বাবার বাড়িতে তো যেতে পারব না
হেরতে ভালা আমি অহন এই বাড়িত,তার চেয়ে ভালো আমি এখন এই বাড়িতে
বউ সাইজ্জা কয়দিন নটাঙ্কি করি,বউ সেজে কয়দিন নাটক করি
মোবারক আপনের হেই ভিডিও মনে আছে,"মোবারক, আপনার সেই ভিডিও মনে আছে?"
ঐডা কইলা আমিই রেকট করছিলাম,ওটা কিন্তু আমিই রেকর্ড করেছিলাম
আপনারে তো পয়লা দিনেই ,আপনাকে তো প্রথম দিনেই
দিল দিয়ালা হালাইছি আমি,মন দিয়ে ফেলেছি আমি
যারে কয় পয়লা নজরেই মোহাব্বত,যাকে বলে প্রথম দেখাতেই প্রেম
আপনে হইলেন গিয়া আমার ফিল্মি হিরো,আপনি হলেন গিয়ে আমার ফিল্মি হিরো
আপনেরে আমার দিলের কতা,আপনাকে আমার মনের কথা
কইবার তরিকা ফিল্মি না হইলে হয়,বলার ধরন ফিল্মি না হলে কি হয়!
মায়ার কতায় কতায় ভাবতাছি কওন লইয়া,মায়ার কথায় কথায় ভাবছি বলা নিয়ে
মোবারক ভাই আর হ্যার,মোবারক ভাই আর তার
সাগরেদগোর ভিত্রে আলাপ,সাগরেদদের ভেতর আলাপ
সের লইয়া আমু ভাইজান,বাঘ নিয়ে আসব ভাইজান
ঘুমের বড়ি খিলায় দিমু,ঘুমের বড়ি খাইয়ে দেব
ফির টেরাকে উডায়া লইয়া আমু,তারপর ট্রাকে উঠিয়ে নিয়ে আসব
​কিয়ের খালি ফাও প্যাচাল পাড়তাছত তরা,কীসের শুধু ফালতু বকছিস তোরা?
আরেক্কান বেডি আছে আমার বাইত্তে,আরেকটা মেয়ে আছে আমার বাড়িতে
ভাবতাছি ভাবতাছি এগ্লা কইতে কইতে,ভাবছি ভাবছি এগুলো বলতে বলতে
আমার জিন্দেগী তামা তামা বানায়া হালাইছে,আমার জীবন তামা তামা বানিয়ে ফেলেছে
আর তরা আছত সের লইয়া,আর তোরা আছিস বাঘ নিয়ে
দেমাক খারাপ করা হালাইতাছত,মাথা খারাপ করে ফেলছিস
ফালা তো তর সের কুত্তা,ফ্যাল তো তোর বাঘ কুত্তা
চাইরদিন ধইরা আমার আপনা কামরায়,চারদিন ধরে আমার নিজের রুমে
শান্তিত ঘুমাইবার পারতাছি না,শান্তিতে ঘুমাতে পারছি না
হেইর লাইগা এগ্লা মাইনসের,সেই জন্য এসব মানুষের
মাদাদ করা ভালা না বুঝছত নি,"সাহায্য করা ভালো না, বুঝেছিস?"
মোবারক ভাই আর মায়ারে,মোবারক ভাই আর মায়াকে
কামরার ভিত্রে না পাইয়া,রুমের ভেতর না পেয়ে
ভাইয়ের মা বাপের আলাপ,ভাইয়ের মা-বাবার আলাপ
​আবে হালায় শুনছো নি,আরে শুনছ নাকি?
আমার পোলা আর পোলার বউ গেল কনে,আমার ছেলে আর ছেলের বউ গেল কোথায়?
চায়ের কাপ তো এমতেই পইড়া রইছে,চায়ের কাপ তো এভাবেই পড়ে আছে
মানুসটি কি উধাও হয়া গেল নি,মানুষগুলো কি উধাও হয়ে গেল নাকি?
আবে হালায় টুকটুক খেলবার গেছে নি,"আরে, লুকোচুরি খেলতে গেছে নাকি?"
​কী কইবার লাগছো ওগোরে,কী বলছ ওদের নিয়ে?
ওই দামড়া পোলাপাইনের কি অহনো,ওই ধেড়ে ছেলেমেয়েদের কি এখনও
টুকটুক খেলবার বয়স আছে নি,লুকোচুরি খেলার বয়স আছে নাকি?
হক্কল বয়সেই খেলন যায়,সব বয়সেই খেলা যায়
ইয়াদ নাই আমরাও খেলতাম সাদির পর দিয়া,"মনে নেই, আমরাও খেলতাম বিয়ের পর পর?"
​আখেরে মায়ার আসিকরে খুইজ্জা পাওনের পর,অবশেষে মায়ার প্রেমিককে খুঁজে পাওয়ার পর
​জান আমি মরি নাইক্কা ইয়াকিন করো,"জান, আমি মরিনি, বিশ্বাস করো"
হেদিন তোমার দারিন্দা বাপে আমারে,সেদিন তোমার পাষণ্ড বাবা আমাকে
বাইত্তে তুইল্লা লইয়া গেছিল,বাড়িতে তুলে নিয়ে গিয়েছিল
হ্যায় ভাবছিল আমি তোমারে কিডন্যাপ করছি,সে ভেবেছিল আমি তোমাকে কিডন্যাপ করেছি
আবে হালায় তরে পুরা সহরে,আরে শালা তোকে পুরো শহরে
চোরের লাখান খুঁজছে আমার পোলাপাইন,চোরের মতো খুঁজেছে আমার ছেলেপেলেরা
হক্কল জায়গায় খুঁইজ্জাও তরে পাই না ক্যালা,সব জায়গায় খুঁজেও তোকে পাই না কেন?
তোরে আমি জবান দিছিলাম না,তোকে আমি কথা দিয়েছিলাম না?
মায়ার লগে তর সাদি আমি দিমু,মায়ার সাথে তোর বিয়ে আমি দেব
আমি কইলাম আমার জবান রাখছি,আমি কিন্তু আমার কথা রেখেছি
তর মায়ারে তর তে আইন্না দিছি,তোর মায়াকে তোর কাছে এনে দিয়েছি
মায়ার আসিকরে খুঁইজ্জা না পাইয়া,মায়ার প্রেমিককে খুঁজে না পেয়ে
মোবারক ভাইয়ে হের,মোবারক ভাই তার
সাগরেদগোরে গাইল্লাইতাছে,সাগরেদদের গালি দিচ্ছে
​কিরে পাইছত নি তরা,কিরে পেয়েছিস তোরা?
তরা একটাও দেহি কামের না,তোরা একটাও দেখি কাজের না
ভালা কইরা বিছড়াইয়া দ্যাখ,ভালো করে খুঁজে দেখ
বিরানিপট্টিতে সন্ধান লাগা,বিরিয়ানি পট্টিতে খোঁজ নে
আর হুন আহনের ওয়াক্তে,"আর শোন, আসার সময়"
মেথরপট্টিতও নজর দিয়া আহিস,মেথরপট্টিতেও নজর দিয়ে আসিস
​কিরে গাজি কইতারস না,"কিরে গাজি, বলতে পারছিস না?"
ওই কোঁকড়া চুল কোনহানে গ্যাছে,ওই কোঁকড়া চুল কোথায় গেছে?
আমার কাছে তয় মনে হইতাছে,আমার কাছে অবশ্য মনে হচ্ছে
এত হুগনা হাওয়ায় উইড়া,"এত শুকনা, বাতাসে উড়ে"
লাগে যে দোকানের চিপায়,মনে হয় যে দোকানের চিপায়
চইলা গেছে গা অয়,চলে গেছে সে
হ্যানো গ্যালে পাওন যাইবার পারে,সেখানে গেলে পাওয়া যেতে পারে
​পুরা পুরান ঢাকা বিছড়ায় হারছি,পুরো পুরান ঢাকা খুঁজে হেরে গেছি
এই মালের সন্ধান নাইক্কা,এই জিনিসের খোঁজ নেই
অর বাড়িত তো একখান,ওর বাড়িতে তো একটা
সিসি ক্যামেরা দেখছিলাম,সিসি ক্যামেরা দেখেছিলাম
ওইডা ভি গিয়া দেহি অহন,সেটাও গিয়ে দেখি এখন
গায়েব হইয়া গ্যাছে গা,গায়েব হয়ে গেছে
অয় যদি বুড়িগঙ্গা নদীর,ও যদি বুড়িগঙ্গা নদীর
পানির তলেও থাকতো,পানির তলেও থাকত
ওরে হ্যানতেও বিছড়াইয়া,ওকে সেখান থেকেও খুঁজে
বাইর কইরা হালাইতাম,বের করে ফেলতাম
মাগার ওই তো নাই,কিন্তু ও তো নেই
লাগতাছে হেনেও নাইক্কা,মনে হচ্ছে সেখানেও নেই
​মোবারক ভাইয়ের কামরায়,মোবারক ভাইয়ের রুমে
মায়া ফয়সালা লয়া হালাইছে,মায়া সিদ্ধান্ত নিয়ে ফেলেছে
হেতিয়ে হ্যানোই থাকতো,সে ওখানেই থাকবে
​ভাববার লাগছি মায় যেমনে,"ভাবছি, মা যেভাবে"
আমারে বরণ কইরা লইছে,আমাকে বরণ করে নিয়েছে
আমার ভি তো থাহনের,আমারও তো থাকার
অহন কুনু জায়গা নাইক্কা,এখন কোনো জায়গা নেই
মায় আমারে গলতি কইরা,মা আমাকে ভুল করে
হ্যানো থাহনের জায়গা দিছে,এখানে থাকার জায়গা দিয়েছে
নাইলে তো আমার লাইগ্গা,নইলে তো আমার জন্য
আপনের বহুত মিছা,আপনার অনেক মিথ্যা
কতা কওন লাগতো,কথা বলতে হতো
হ্যর চাইতে ভালা অহন,তার চেয়ে ভালো এখন
আপনের ভি আমারে লইয়া,আপনারও আমাকে নিয়ে
চিন্তা করন লাগত না,চিন্তা করতে হতো না
আমি হ্যানোই থাইক্কা যাইগা,আমি এখানেই থেকে যাই
​থাইক্কা যাইগা মানে,থেকে যাই মানে?
আপনে কী কইবার চান,আপনি কী বলতে চান?
আমি অহন আর কী করমু,আমি এখন আর কী করব?
ঝাড়ু ভি আমিই দিমু নি,ঝাড়ুও আমিই দেব নাকি?
মেহেরবানী কইরা এট্টু জলদি করেন,মেহেরবানি করে একটু জলদি করেন
​মায়ার কতায় কতায়,মায়ার কথায় কথায়
ভাবতাছি কওন লইয়া,ভাবছি বলা নিয়ে
মোবারক ভাইয়ে হেতিরে,মোবারক ভাই তাকে
নকল কইরা মজা লইতাছে,নকল করে মজা নিচ্ছে
​একলা একলা মায়ারে নকল কইরা,একা একা মায়াকে নকল করে
আমি ভাবতাছি ভাইবা কইতাছি,"আমি ভাবছি, ভেবে বলছি"
​ভাই আপনে কইবার পারছিলেন,ভাই আপনি বলতে পেরেছিলেন?
সরম পাইছেন নি আবার,লজ্জা পেয়েছেন নাকি আবার?
ঠাসি খাইয়া থাক দেহি তর,চড় খেয়ে থাক দেখি তোর
আন্দাজ করবার কইছি তগোরে,আন্দাজ করতে বলেছি তোদেরকে?
কইবার গেছি তহন ইয়াদ হইলো,"বলতে গেছি, তখন মনে পড়লো"
অয় যে আমারে ভালা পায়,ও যে আমাকে ভালোবাসে
হেইডা তো আমি জানি না,সেটা তো আমি জানি না
আগে পুরাডা বুইজ্জা লই,আগে পুরোটা বুঝে নিই
আর কাহিনী বুঝবার লাইগা,আর কাহিনী বোঝার জন্য
অহন কী করন লাগবো,এখন কী করতে হবে?
বহুত চিন্তা করন লাগবো,অনেক চিন্তা করতে হবে
তাইলে আর কি করতেন,তাহলে আর কী করতেন
চিন্তা করবার লাগেন,চিন্তা করতে শুরু করেন
মায়ারে তুইল্লা লইয়া আহনের পর,মায়াকে তুলে নিয়ে আসার পর
মোবারক ভাইয়ে হেতিরে,মোবারক ভাই তাকে
দোস্তের বাইত্তে পাডাইতে চাইতাছে,বন্ধুর বাড়িতে পাঠাতে চাইছে
​আরে কাইন্দো না লও,"আরে কেঁদো না, নাও"
তুমার দোস্তরে ফুন লাগাও,তোমার বন্ধুকে ফোন লাগাও
দিয়া কও যে আমি আইতাছি,দিয়ে বলো যে আমি আসছি
তর বাইত্তে কয়ডা দিন থাহুম,তোর বাড়িতে কয়টা দিন থাকব
আমার কুনু দোস্ত নাইক্কা,আমার কোনো বন্ধু নেই
থাকবো না কিল্লাইগা,থাকবে না কেন?
কাউর লগে তো আমারে,কারও সাথে তো আমাকে
দোস্তের বাইত্তে পাডাইবার চাইতাছে,মিশতে দেয়নি জীবনেও
হেইলে পিরিত করছো ক্যামতে,তাহলে প্রেম করেছ কীভাবে?
বাইত্বার পড়াইবার আইতো মাষ্টর,বাড়িতে পড়াতে আসতো মাস্টার
হের লগেই পিরিত করছি,তার সাথেই প্রেম করেছি
জিন্দেগীত একখান মরদ দেখছো,জীবনে একটা পুরুষ দেখেছো
হের গলায়ই ফির ঝুইল্লা পড়লা,তার গলায়ই আবার ঝুলে পড়লে?
​আপনে অহন আমারে,আপনি এখন আমাকে
খারাপ ছেরি কইতাছেন নি,খারাপ মেয়ে বলছেন নাকি?
​কিচ্ছু কই নাইক্কা কইতাছি,"কিছু বলিনি, বলছি"
​আরে হয়া গ্যাছে,আরে হয়ে গেছে
চইল্লা আহো আমার লগে,চলে আসো আমার সাথে
দক্ষিণের কামরায় তোমারে,দক্ষিণের রুমে তোমাকে
কায়দামতন সেট কইরা দিমু নে,কায়দামতো সেট করে দেবো
দুইদিন হেন আরামে থাকবা,দুইদিন ওখানে আরামে থাকবে
ডাইল আর ভত্তা খাইবা,ডাল আর ভর্তা খাবে
আমরা তোমার আসিকরে,আমরা তোমার প্রেমিককে
খুঁইজ্জা বাইর করুম প্যারা নাইক্কা,"খুঁজে বের করব, চিন্তা নেই"
​কী কইবার চান আপনে,কী বলতে চান আপনি?
আমি একলা একখান মাইয়া,আমি একা একটা মেয়ে
একখান হোটেলে গিয়া থাহুম,একটা হোটেলে গিয়ে থাকব?
আপনের মতিগতি ভালা দেখতাছি না,আপনার মতিগতি ভালো দেখছি না
অহন আমার কী লাগতাছে,এখন আমার কী মনে হচ্ছে
হেইডা আপনে জানেন নি,সেটা আপনি জানেন কি?
পয়লা থেইক্কা অহন তিরিক,প্রথম থেকে এখন পর্যন্ত
যেইসব কিচ্ছু অইতাছে,যা কিছু হচ্ছে
হক্কলডি আপনের বুদ্দি মোতাবেক হইছে,সব আপনার বুদ্ধি অনুযায়ী হয়েছে
ওই ছেরি জবানে তালা দে,"ওই মেয়ে, মুখে তালা দে"
আমার চরিত্রে কইলাম তুই,আমার চরিত্রে কিন্তু তুই
কুনু সওয়াল উডাইবার পারবি না,কোনো প্রশ্ন তুলতে পারবি না
অহন আমি পইড়া গেছি গা,এখন আমি পড়ে গেছি
কী একখান মাইনক্যা চিপার ভিত্রে,কী একটা মাইনকা চিপার ভেতর!
ডাইনে না বামে আমি অহন,ডানে না বামে আমি এখন
কুনুদিক যাইবার পারতাছি না,কোনোদিকে যেতে পারছি না
​মায়া মোবারক ভাইরে হেতির,মায়া মোবারক ভাইকে তার
দিলের কতা কইবার চাইতাছে,মনের কথা বলতে চাইছে
​অহন যাইয়া আফসোস করতাছি,এখন গিয়ে আফসোস করছি
আর কয়ডা হপ্তা আগে,আর কয়েক সপ্তাহ আগে
আপনের লগে আমার,আপনার সাথে আমার
দেহা হইলো না ক্যালা,দেখা হলো না কেন!
হেলে আপনেরেই সাদি করতাম,তাহলে আপনাকেই বিয়ে করতাম
আসিক তো হইছে সেরেফ,প্রেমিক তো হয়েছে স্রেফ
দুইডা সপ্তা আগে দিয়া,দুই সপ্তাহ আগে
মায়ার নটাঙ্কি যেইডা হুইন্না,মায়ার নাটক যেটা শুনে
কামরার বাইরে বইয়া রইছে,রুমের বাইরে বসে আছে
মোবারক ভাইয়ের সাগরেদ ডি,মোবারক ভাইয়ের সাগরেদরা
হ্যাগোর তে লাগে য্যান,তাদের কাছে মনে হয় যেন
ভাইয়ের হাছাই মায়ার উপ্রে,ভাইয়ের সত্যিই মায়ার ওপর
মোহাব্বত হইয়া গ্যাছে গা,মোহাব্বত হয়ে গেছে
দিল করতাছে অহনি এইহানো,মন চাইছে এখনই এখানে
আপনারে এক্কেরে জড়ায়া ধরি,আপনাকে একেবারে জড়িয়ে ধরি
অহন আপনের লাগবার পারে,এখন আপনার মনে হতে পারে
আমি এমুন কইতাছি ক্যালা,আমি এমন বলছি কেন?
কেমতে কী য্যান হইয়া গ্যালো,কীভাবে কী যেন হয়ে গেল!
আর আমাগোর জিন্দেগী পুরাই,আর আমাদের জীবন পুরোটাই
অ্যাকলগে মিল্লা গ্যালো,একসাথে মিলে গেল
হ্যার সাগরেদ ভি কামরার,তার সাগরেদও রুমের
বাইরের তে হুইন্না টাস্কি খাইয়া,বাইরে থেকে শুনে অবাক হয়ে
মোবারক ভাই তোমারে দেহি আমি,"মোবারক ভাই, তোমাকে দেখি আমি"
আপনা ভাই ভাবছিলাম,আপন ভাই ভাবছিলাম
তুমি দেহি অহন অ্যাকখান না,তুমি দেখি এখন একটা না
দুইখান সাদি ভাঙবার লাগছো,দুটো বিয়ে ভাঙতে শুরু করেছ!
বুঝবার পারতাছি না তোমার ইরাদা,বুঝতে পারছি না তোমার উদ্দেশ্য
মাগার কুন মহল্লার এডি,কিন্তু কোন মহল্লার এগুলো?
আপনে অহন ধইরা লন য্যান,আপনি এখন ধরে নেন যেন
সাদি ভাইঙ্গা খানখান হইয়া গেছে গা,বিয়ে ভেঙে খানখান হয়ে গেছে
মোবারক ভাই আপনে দেহি,"মোবারক ভাই, আপনি দেখি"
হক্কলতের মহব্বত মিলায়া দিছেন,সবার প্রেম মিলিয়ে দিয়েছেন
মাগার আপনে কি জিন্দেগীত আপনের,কিন্তু আপনি কি জীবনে আপনার
আপনা মোহাব্বত মিলাইবেন না,নিজের প্রেম মেলাবেন না?
আইজকা আমার দিলডা ভালা নাইক্কা,আজকে আমার মন ভালো নেই
তুমি কী করতাছো,তুমি কি করো
এই গরমের ভিত্রে আমার কিচ্ছু ভালা লাগে না,এই গরমে আমার কিছু ভালো লাগে না
পোলাডা সাদা রঙ্গের একখান সার্ট পিন্দা আইছিল,ছেলেটি সাদা রঙয়ের একটি শার্ট পরে এসেছিল
ছেরিডা রাঙ্গা একখান সাড়ি পিন্দা ,মেয়েটি লাল একটা শাড়ি পরে 
আমার লগে মোলাকাত করবার আইছিল,আমার সাথে দেখা করতে এসেছিল
পোলাডা সিলেট থন ঢাকায় আইছে,ছেলেটি সিলেট থেকে ঢাকায় এসেছে
ছেরিডা ম্যালা মোহাব্বত করে,মেয়েটি অনেক ভালবাসে
সিলেট থন আওয়া এই পোলাডারে,সিলেট থেকে আসা এই ছেলেটিকে
পোলাডা ছেরিডারে অহনো মহব্বতের নজরে দ্যাহে নাইক্কা,ছেলেটি মেয়েটাকে এখনো ভালবাসার চোখে দেখেনি
ছেরিডা হ্যার হগল খোয়াবের ভিত্রে পোলাডারে ভাবে,মেয়েটি তাঁর সব স্বপ্নের মধ্যে ছেলেটাকে কল্পনা করে
আমার বহুত দিন পয়লে অ্যাকবার সাদি হইছিল,আমার অনেক দিন আগে একবার বিয়ে হয়েছিল
আম্মায় আমারে কইসিল ,আমার মা আমাকে বলেছিল 
সাদি অইলে জিন্দেগী বদলাইয়া যায় গা,বিয়ে হলে জীবন পরিবর্তন হয়ে যায়
আম্মায় হেইদিন সাচ্চা কতাই কইসিল,আম্মু ঐদিন ঠিক কথাই বলেছিলও
আম্মায় হামেশা আমার দিলের কতা বুজে,আম্মু সব সময় আমার মনের কথা বুঝে
আমার বাড়ির কামের ছেড়িডা অহন ভালামতন কাম করে না,আমার বাসার কাজের মেয়েটি এখন ভাল মত কাজ করে নাহ
আমার বাড়ির কামের ছেড়িডা দুইদিন ধইরা ভাইগা গ্যাছে গা,আমার বাসার কাজের মেয়েটি দুইদিন ধরে পলাতক
আমার বাড়ির দারোয়ান অহন হ্যার গেরামে ঘুরবার গ্যাছে গা,আমার বাসার দারওয়ান এখন তাঁর গ্রামে ঘুরতে গিয়েছে
তোমারে আমি ফুন দিমু না,তোমাকে আমি কল দিবো না
এই চিজডা বহুত ত্যাড়াচোরা আছিল,এই জিনিষটা খুবই বিরক্তিকর ছিল
হ্যায় সিলেট থন আমার লগে ,সে সিলেট থেকে আমার সাথে 
মোলাকাত করবার লাইগা আইছিল,দেখা করতে এসেছিল
হ্যায় অহন রাজশাহী চইলা গ্যাছে গা,সে এখন রাজশাহী চলে গেছে
হ্যায় অহন হ্যার দোস্তগোর লগে বিড়ি টানে,সে এখন তাঁর বন্ধুদের সাথে সিগারেট খায়
হ্যায় এক্কেরে হাসে না,সে একদমই হাসে না
হ্যায় আমারে বেইজ্জত করে,সে আমাকে অপমান করে
হ্যার কেতাব পড়বার এক্কেরে ভালা লাগে না,তাঁর বই পরতে একদমই ভাল লাগে না
আপনের কেতাব পড়নের খাসলত আছে নি,আপনার কি বই পড়ার অভ্যাস আছে
তুমি আমারে চিনো নি,তুমি কি আমাকে চিনো
আমি তোমারে চিনবার পারলাম না,আমি তোমাকে চিনতে পারলাম না
আমি তোমারে আগে কুনুদিন দেহি নাইক্কা,আমি তোমাকে আগে কখনো দেখি নাই
আমার পড়াল্যাহা করবার এক্কেরে ভালা লাগে না,আমাকে পড়ালেখা করতে একদমই ভাল লাগে না
আপনের পড়াল্যাহা করন দরকার,আপনার পড়ালেখা করা উচিত
আপনের নি পড়াল্যাহা করবার এক্কেরে ভালা লাগে না,আপনার কি পড়ালেখা করতে একদমই ভাল লাগে নাহ
তর পড়াল্যাহা করন লাগবো,তোর পড়ালেখা কোরতে হবে
তুই কি আর পড়াল্যাহা করবি না,তুই কি আর পড়ালেখা করবি নাহ
